,id,code,date,open_weekly,close_weekly,high_weekly,low_weekly,total_vol,oi
4,AAA20150109,AAA,2015-01-09,6.36,6.36,6.81,6.13,3038.7,39.599998
9,AAA20150116,AAA,2015-01-16,6.36,6.26,6.36,5.72,3188.2,39.599998
14,AAA20150123,AAA,2015-01-23,6.31,6.17,6.31,6.08,1698.601,39.599998
19,AAA20150130,AAA,2015-01-30,6.22,5.94,6.26,5.94,2243.49,39.599998
24,AAA20150206,AAA,2015-02-06,5.99,5.94,6.04,5.67,3398.309,39.599998
29,AAA20150213,AAA,2015-02-13,5.94,5.94,5.99,5.85,1280.926,39.599998
34,AAA20150302,AAA,2015-03-02,5.99,6.08,6.26,5.94,1553.6,39.599998
39,AAA20150309,AAA,2015-03-09,6.13,6.13,6.36,6.08,1823.9,39.599998
44,AAA20150316,AAA,2015-03-16,6.13,5.94,6.22,5.94,975.511,39.599998
49,AAA20150323,AAA,2015-03-23,5.94,5.94,6.04,5.85,1482.696,39.599998
54,AAA20150330,AAA,2015-03-30,5.94,5.67,6.04,5.67,1641.7500000000002,39.599998
59,AAA20150406,AAA,2015-04-06,5.62,5.67,5.81,5.49,633.4000000000001,39.599998
64,AAA20150413,AAA,2015-04-13,5.67,5.72,5.99,5.67,720.01,39.599998
69,AAA20150420,AAA,2015-04-20,5.72,5.94,6.04,5.62,3959.7169999999996,39.599998
74,AAA20150427,AAA,2015-04-27,5.9,5.94,6.04,5.85,1284.3169999999996,39.599998
79,AAA20150508,AAA,2015-05-08,5.94,5.94,5.94,5.76,1397.4549999999995,39.599998
84,AAA20150515,AAA,2015-05-15,5.9,6.22,6.4,5.9,1798.2669999999996,39.599998
89,AAA20150522,AAA,2015-05-22,6.04,5.94,6.13,5.81,644.3539999999996,39.599998
94,AAA20150529,AAA,2015-05-29,6.08,6.08,6.13,5.9,850.9459999999995,39.599998
99,AAA20150605,AAA,2015-06-05,5.99,6.04,6.13,5.85,972.5999999999995,39.599998
104,AAA20150612,AAA,2015-06-12,6.04,6.13,6.63,6.04,2065.0029999999997,39.599998
109,AAA20150619,AAA,2015-06-19,6.17,6.08,6.26,5.9,1052.2399999999996,39.599998
114,AAA20150626,AAA,2015-06-26,5.99,5.94,6.08,5.94,554.6399999999995,39.599998
119,AAA20150703,AAA,2015-07-03,5.94,6.13,6.17,5.9,923.1999999999996,39.599998
124,AAA20150710,AAA,2015-07-10,6.13,6.17,6.31,5.99,1890.7199999999996,39.599998
129,AAA20150717,AAA,2015-07-17,6.08,6.22,6.4,6.08,1025.7499999999995,39.599998
134,AAA20150724,AAA,2015-07-24,6.22,6.13,6.31,6.04,535.5999999999995,39.599998
139,AAA20150731,AAA,2015-07-31,6.13,6.17,6.31,6.08,497.72499999999957,39.599998
144,AAA20150807,AAA,2015-08-07,6.13,6.13,6.22,6.08,301.10099999999954,39.599998
149,AAA20150814,AAA,2015-08-14,6.08,5.9,6.13,5.85,489.69999999999953,39.599998
154,AAA20150821,AAA,2015-08-21,5.9,6.04,6.4,5.81,1054.9599999999996,39.599998
159,AAA20150828,AAA,2015-08-28,5.9,5.72,5.9,5.26,1598.8609999999994,39.599998
164,AAA20150907,AAA,2015-09-07,5.72,5.62,5.72,5.44,1288.9999999999995,39.599998
169,AAA20150914,AAA,2015-09-14,5.62,5.62,5.67,5.03,1250.1999999999996,39.599998
174,AAA20150921,AAA,2015-09-21,5.58,5.62,5.76,5.53,911.8999999999996,39.599998
179,AAA20150928,AAA,2015-09-28,5.67,6.08,6.31,5.58,1032.1159999999998,49.499989
184,AAA20151005,AAA,2015-10-05,6.08,6.14,6.14,5.79,787.8189999999996,49.499989
189,AAA20151012,AAA,2015-10-12,6.14,6.14,6.31,6.08,1291.3619999999996,49.499989
